id,type,name,xMin,yMin,xMax,yMax,zMin,zMax,description
way_15_20,Path,Way Shop 15 to Shop 20,50,23,58,26,0,4,"Direct way from Shop 15 to Shop 20"
way_16_21,Path,Way Shop 16 to Shop 21,2,31,10,34,0,4,"Direct way from Shop 16 to Shop 21"
way_17_22,Path,Way Shop 17 to Shop 22,14,31,22,34,0,4,"Direct way from Shop 17 to Shop 22"
way_18_23,Path,Way Shop 18 to Shop 23,26,31,34,34,0,4,"Direct way from Shop 18 to Shop 23"
way_19_24,Path,Way Shop 19 to Shop 24,38,31,46,34,0,4,"Direct way from Shop 19 to Shop 24"
way_20_25,Path,Way Shop 20 to Shop 25,50,31,58,34,0,4,"Direct way from Shop 20 to Shop 25"
way_21_26,Path,Way Shop 21 to Shop 26,2,39,10,42,0,4,"Direct way from Shop 21 to Shop 26"
way_22_27,Path,Way Shop 22 to Shop 27,14,39,22,42,0,4,"Direct way from Shop 22 to Shop 27"
way_23_28,Path,Way Shop 23 to Shop 28,26,39,34,42,0,4,"Direct way from Shop 23 to Shop 28"
way_24_29,Path,Way Shop 24 to Shop 29,38,39,46,42,0,4,"Direct way from Shop 24 to Shop 29"
way_25_30,Path,Way Shop 25 to Shop 30,50,39,58,42,0,4,"Direct way from Shop 25 to Shop 30"
sign_exit_north,Gate,Exit,27,47,33,48,0,2,"Exit sign"
sign_exit_south,Gate,Exit,27,0,33,1,0,2,"Exit sign"
sign_cr,Gate,CR,54,23,59,26,0,2,"Restroom CR sign"
